reg_coeff,sigma,acc
1e-4,0.00,97.200000
1e-4,0.02,97.180000
1e-4,0.04,97.180000
1e-4,0.06,97.200000
1e-4,0.08,97.210000
1e-4,0.10,97.220000
1e-4,0.12,97.160000
1e-4,0.14,97.160000
1e-4,0.16,97.200000
1e-4,0.18,97.120000
1e-4,0.20,97.170000
1e-4,0.22,97.120000
1e-4,0.24,97.080000
1e-4,0.26,97.070000
1e-4,0.28,96.980000
1e-4,0.30,97.080000
1e-4,0.32,97.090000
1e-4,0.34,97.070000
1e-4,0.36,97.130000
1e-4,0.38,97.150000
1e-4,0.40,97.030000
1e-4,0.42,97.000000
1e-4,0.44,96.950000
1e-4,0.46,97.030000
1e-4,0.48,96.980000
1e-4,0.50,97.080000
1e-4,0.52,96.970000
1e-4,0.54,96.880000
1e-4,0.56,96.770000
1e-4,0.58,96.980000
1e-4,0.60,96.800000
1e-4,0.62,96.820000
1e-4,0.64,96.790000
1e-4,0.66,96.790000
1e-4,0.68,96.780000
1e-4,0.70,96.870000
1e-4,0.72,96.700000
1e-4,0.74,96.760000
1e-4,0.76,96.720000
1e-4,0.78,96.510000
1e-4,0.80,96.650000
1e-4,0.82,96.790000
1e-4,0.84,96.700000
1e-4,0.86,96.630000
1e-4,0.88,96.600000
1e-4,0.90,96.600000
1e-4,0.92,96.460000
1e-4,0.94,96.680000
1e-4,0.96,96.650000
1e-4,0.98,96.420000
1e-4,1.00,96.620000
5e-4,0.00,97.270000
5e-4,0.02,97.260000
5e-4,0.04,97.300000
5e-4,0.06,97.200000
5e-4,0.08,97.240000
5e-4,0.10,97.260000
5e-4,0.12,97.230000
5e-4,0.14,97.240000
5e-4,0.16,97.200000
5e-4,0.18,97.180000
5e-4,0.20,97.200000
5e-4,0.22,97.230000
5e-4,0.24,97.250000
5e-4,0.26,97.210000
5e-4,0.28,97.180000
5e-4,0.30,97.060000
5e-4,0.32,97.140000
5e-4,0.34,97.070000
5e-4,0.36,97.030000
5e-4,0.38,97.190000
5e-4,0.40,97.010000
5e-4,0.42,97.050000
5e-4,0.44,97.060000
5e-4,0.46,97.120000
5e-4,0.48,97.080000
5e-4,0.50,97.110000
5e-4,0.52,96.960000
5e-4,0.54,96.990000
5e-4,0.56,96.980000
5e-4,0.58,97.140000
5e-4,0.60,96.950000
5e-4,0.62,96.980000
5e-4,0.64,96.870000
5e-4,0.66,96.850000
5e-4,0.68,96.920000
5e-4,0.70,96.960000
5e-4,0.72,97.070000
5e-4,0.74,96.920000
5e-4,0.76,96.820000
5e-4,0.78,96.830000
5e-4,0.80,96.820000
5e-4,0.82,97.040000
5e-4,0.84,96.910000
5e-4,0.86,96.730000
5e-4,0.88,96.820000
5e-4,0.90,96.750000
5e-4,0.92,96.720000
5e-4,0.94,96.810000
5e-4,0.96,96.760000
5e-4,0.98,96.750000
5e-4,1.00,96.790000
1e-3,0.00,97.320000
1e-3,0.02,97.320000
1e-3,0.04,97.340000
1e-3,0.06,97.300000
1e-3,0.08,97.310000
1e-3,0.10,97.250000
1e-3,0.12,97.280000
1e-3,0.14,97.210000
1e-3,0.16,97.180000
1e-3,0.18,97.290000
1e-3,0.20,97.360000
1e-3,0.22,97.130000
1e-3,0.24,97.250000
1e-3,0.26,97.220000
1e-3,0.28,97.090000
1e-3,0.30,97.200000
1e-3,0.32,97.160000
1e-3,0.34,97.190000
1e-3,0.36,97.120000
1e-3,0.38,97.140000
1e-3,0.40,97.060000
1e-3,0.42,97.120000
1e-3,0.44,97.210000
1e-3,0.46,97.140000
1e-3,0.48,97.130000
1e-3,0.50,97.110000
1e-3,0.52,97.220000
1e-3,0.54,97.180000
1e-3,0.56,97.070000
1e-3,0.58,97.160000
1e-3,0.60,96.850000
1e-3,0.62,97.060000
1e-3,0.64,97.120000
1e-3,0.66,97.020000
1e-3,0.68,97.000000
1e-3,0.70,96.910000
1e-3,0.72,96.980000
1e-3,0.74,96.940000
1e-3,0.76,96.990000
1e-3,0.78,97.010000
1e-3,0.80,96.920000
1e-3,0.82,96.880000
1e-3,0.84,96.940000
1e-3,0.86,96.750000
1e-3,0.88,96.800000
1e-3,0.90,96.890000
1e-3,0.92,96.810000
1e-3,0.94,96.880000
1e-3,0.96,96.680000
1e-3,0.98,96.650000
1e-3,1.00,96.760000
