arch,hidden_size,T,L2_acc_mean,L2_acc_std,L16_acc_mean,L16_acc_std,diff_L16_minus_L2_mean
fc3_h4,4,2,55.420000,30.108548,39.684000,20.704264,-15.736000
fc3_h4,4,4,55.812000,30.499164,50.744000,22.696793,-5.068000
fc3_h4,4,8,55.688000,30.420167,63.158000,19.028625,7.470000
fc3_h4,4,16,55.658000,30.480100,66.798000,16.163480,11.140000
fc3_h4,4,32,55.616000,30.510531,67.280000,15.800134,11.664000
fc3_h8,8,2,86.254000,6.726487,55.828000,22.556652,-30.426000
fc3_h8,8,4,87.272000,6.395344,70.356000,21.397199,-16.916000
fc3_h8,8,8,87.482000,6.360949,74.808000,22.455112,-12.674000
fc3_h8,8,16,87.544000,6.398268,77.160000,19.232587,-10.384000
fc3_h8,8,32,87.520000,6.384219,77.524000,18.713642,-9.996000
fc3_h16,16,2,94.318000,0.392518,82.568000,5.551488,-11.750000
fc3_h16,16,4,95.098000,0.530396,91.748000,1.894484,-3.350000
fc3_h16,16,8,95.342000,0.471243,93.562000,1.410096,-1.780000
fc3_h16,16,16,95.342000,0.537420,93.876000,1.353229,-1.466000
fc3_h16,16,32,95.336000,0.488702,93.912000,1.340362,-1.424000
fc3_h32,32,2,96.502000,0.266120,94.230000,0.829307,-2.272000
fc3_h32,32,4,97.016000,0.223897,96.584000,0.433509,-0.432000
fc3_h32,32,8,97.184000,0.237550,97.040000,0.315040,-0.144000
fc3_h32,32,16,97.236000,0.232336,97.176000,0.316433,-0.060000
fc3_h32,32,32,97.254000,0.204768,97.142000,0.243660,-0.112000
fc3_h64,64,2,97.248000,0.169617,95.980000,0.176918,-1.268000
fc3_h64,64,4,97.680000,0.067823,97.314000,0.127004,-0.366000
fc3_h64,64,8,97.780000,0.101242,97.590000,0.126491,-0.190000
fc3_h64,64,16,97.840000,0.100250,97.710000,0.117686,-0.130000
fc3_h64,64,32,97.824000,0.106911,97.740000,0.109772,-0.084000
fc3_h128,128,2,95.440000,2.168905,96.108000,0.157385,0.668000
fc3_h128,128,4,96.084000,1.785450,97.468000,0.120706,1.384000
fc3_h128,128,8,96.562000,1.288670,97.718000,0.160375,1.156000
fc3_h128,128,16,96.532000,1.266973,97.796000,0.130307,1.264000
fc3_h128,128,32,96.576000,1.257867,97.778000,0.125976,1.202000
