checkpoint,m_global_mean,m_global_strict,layers_used,weights_used
mnist-checkpoints/cnn2_L[16].pth,0.2893335905307677,0.5546320676803589,3,2050
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed44.pth,0.3065444104264422,0.6913392543792725,3,2050
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed45.pth,0.24962561677141887,0.508316159248352,3,2050
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed46.pth,0.2969458521866217,0.4714726209640503,3,2050
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed47.pth,0.3264057433895948,0.44718217849731445,3,2050
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed48.pth,0.28089972240168876,0.5325102210044861,3,2050
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed49.pth,0.3287881027779928,0.4575241506099701,3,2050
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed50.pth,0.29567792985497454,0.5541783571243286,3,2050
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed51.pth,0.31562764214306344,0.4464013874530792,3,2050
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed52.pth,0.3635076366982809,0.4840103089809418,3,2050
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed53.pth,0.3173921036138767,0.5188668966293335,3,2050
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed54.pth,0.32441281109321407,0.543507993221283,3,2050
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed55.pth,0.31488092399225004,0.5520641803741455,3,2050
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed56.pth,0.27460688404920625,0.4269547760486603,3,2050
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed57.pth,0.2954926169790873,0.5737574100494385,3,2050
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed58.pth,0.2983732649175132,0.48346737027168274,3,2050
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed59.pth,0.2786399950632235,0.4968075156211853,3,2050
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed60.pth,0.286606502532959,0.4016052484512329,3,2050
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed61.pth,0.2928383096834508,0.49206244945526123,3,2050
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed62.pth,0.3159089644362287,0.4557034969329834,3,2050
mnist-checkpoints/cnn2_L[16]_L2_ann2snn_seed63.pth,0.29037597981894886,0.48156240582466125,3,2050
mnist-checkpoints/cnn2_L[2].pth,0.2671577611783656,0.5930185317993164,3,2050
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed44.pth,0.3650055108419279,0.6559016704559326,3,2050
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed45.pth,0.5420278888795435,0.8325441479682922,3,2050
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed46.pth,0.23479659243327816,0.5187498331069946,3,2050
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed47.pth,0.39470927726931687,0.5956993699073792,3,2050
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed48.pth,0.28637794448108206,0.3936074674129486,3,2050
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed49.pth,0.30758032915068834,0.5735803842544556,3,2050
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed50.pth,0.3757091243092607,0.6997822523117065,3,2050
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed51.pth,0.2792809546866068,0.7172766923904419,3,2050
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed52.pth,0.27363955939688334,0.5569984912872314,3,2050
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed53.pth,0.32413685403219084,0.804511308670044,3,2050
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed54.pth,0.3343028184844226,0.6868278980255127,3,2050
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed55.pth,0.34882036046284,0.5005786418914795,3,2050
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed56.pth,0.29804638699787417,0.46452534198760986,3,2050
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed57.pth,0.3247159683413622,0.5378050208091736,3,2050
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed58.pth,0.32914667548202886,0.5283874273300171,3,2050
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed59.pth,0.29796334382964346,0.4458647072315216,3,2050
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed60.pth,0.3159267330169678,0.4838627576828003,3,2050
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed61.pth,0.29699285646764245,0.5875825881958008,3,2050
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed62.pth,0.31110273035561165,0.5594580173492432,3,2050
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed63.pth,0.2765590960805009,0.5082443952560425,3,2050
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed44.pth,0.1603638151215344,0.8316843509674072,3,2050
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed45.pth,0.004012999360154315,0.11387063562870026,3,2050
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed46.pth,0.08777916280234732,0.2072456181049347,3,2050
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed47.pth,0.1397394257057004,0.766215980052948,3,2050
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed48.pth,0.02352737577950082,0.07798127084970474,3,2050
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed49.pth,0.0644927750564203,0.27678072452545166,3,2050
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed50.pth,0.14144643225320955,0.5420597791671753,3,2050
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed51.pth,0.06062136103467244,0.29534390568733215,3,2050
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed52.pth,0.05508946360611334,0.20664991438388824,3,2050
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed53.pth,0.19149307437059357,0.6509689092636108,3,2050
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed54.pth,0.10529776596441502,0.7423825860023499,3,2050
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed55.pth,0.021377190613165134,0.13656097650527954,3,2050
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed56.pth,0.025301967074231404,0.1133057028055191,3,2050
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed57.pth,0.04328059184841993,0.240250825881958,3,2050
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed58.pth,0.07393955114411145,0.25407305359840393,3,2050
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed59.pth,0.014835648304078637,0.14484892785549164,3,2050
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed60.pth,0.09078975305324648,0.7163345813751221,3,2050
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed61.pth,0.033114115784807906,0.1979319304227829,3,2050
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed62.pth,0.05051040405180396,0.20239686965942383,3,2050
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed63.pth,0.0389901620585744,0.15027961134910583,3,2050
mnist-checkpoints/cnn2_L[2]_T[2]_smokecheck_seed44.pth,0.05489759003243795,0.3428671956062317,3,2050
mnist-checkpoints/cnn2_L[2]_ann2snn_smoke_seed44.pth,0.06300271266844215,0.3308662474155426,3,2050
mnist-checkpoints/cnn2_L[32].pth,0.3018318348396115,0.6194705963134766,3,2050
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed44.pth,0.31061144061204865,0.6905152797698975,3,2050
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed45.pth,0.2727236603527534,0.5304318070411682,3,2050
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed46.pth,0.3017885982699511,0.4668090045452118,3,2050
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed47.pth,0.3382615852355957,0.4430010914802551,3,2050
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed48.pth,0.2764368438720703,0.5395246744155884,3,2050
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed49.pth,0.33340119268836044,0.4650115370750427,3,2050
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed50.pth,0.2951925803393852,0.5450950264930725,3,2050
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed51.pth,0.28764491848829316,0.4288298785686493,3,2050
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed52.pth,0.36070882936803306,0.5026733875274658,3,2050
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed53.pth,0.3223852276220554,0.5028456449508667,3,2050
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed54.pth,0.34235866151204924,0.5055482387542725,3,2050
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed55.pth,0.3313278791381092,0.5757365822792053,3,2050
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed56.pth,0.2801012416002227,0.42254140973091125,3,2050
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed57.pth,0.2793255508236769,0.54686039686203,3,2050
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed58.pth,0.2924064610644085,0.47617125511169434,3,2050
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed59.pth,0.2609341184104361,0.5827375650405884,3,2050
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed60.pth,0.26077402161388863,0.44986692070961,3,2050
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed61.pth,0.2970617424569479,0.49651873111724854,3,2050
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed62.pth,0.32841169915548185,0.4362500011920929,3,2050
mnist-checkpoints/cnn2_L[32]_L2_ann2snn_seed63.pth,0.32380786709669157,0.5426936745643616,3,2050
mnist-checkpoints/cnn2_L[4].pth,0.295671584896925,0.4933941662311554,3,2050
mnist-checkpoints/cnn2_L[64].pth,0.2910615707025295,0.6043789386749268,3,2050
mnist-checkpoints/cnn2_L[8].pth,0.2804702728550609,0.4728732109069824,3,2050
mnist-checkpoints_c16_c32/cnn2_L[16].pth,0.07089753905216417,0.43617957830429077,3,20432
mnist-checkpoints_c16_c32/cnn2_L[2].pth,0.16034860562419367,0.37924474477767944,3,20432
mnist-checkpoints_c16_c32/cnn2_L[32].pth,0.07193899640088541,0.36909520626068115,3,20432
mnist-checkpoints_c16_c32/cnn2_L[4].pth,0.11962102760816797,0.4831545054912567,3,20432
mnist-checkpoints_c16_c32/cnn2_L[8].pth,0.07942359673388787,0.5466673374176025,3,20432
mnist-checkpoints_c4_c8/cnn2_L[16].pth,0.11813066277607334,0.41010114550590515,3,4244
mnist-checkpoints_c4_c8/cnn2_L[2].pth,0.19879656350354222,0.4626670479774475,3,4244
mnist-checkpoints_c4_c8/cnn2_L[32].pth,0.1813722200600411,0.42291170358657837,3,4244
mnist-checkpoints_c4_c8/cnn2_L[4].pth,0.2198461661577,0.47071948647499084,3,4244
mnist-checkpoints_c4_c8/cnn2_L[8].pth,0.1516077790363682,0.3331493139266968,3,4244
