label,reg_coeff,weight_decay,seed,L,T,if_mode,sigma,acc,checkpoint,matrix_csv
weight_decay,,0.0001,42,16,16,rate_uniform,0.0,55.338,imagenet-checkpoints/resnet18_L[16]_seed42_schemeC_noout_wd_l16_resnet18.pth,noise3_exp/imagenet_resnet18_mne_l2_wd_combo_noise_sweep_rate_uniform_L16_T16/weight_decay/noise_sweep_matrix_imagenet_resnet18_T16_mode_rate_uniform_schedule_normal_seed_42.csv
weight_decay,,0.0001,42,16,16,rate_uniform,0.1,36.262,imagenet-checkpoints/resnet18_L[16]_seed42_schemeC_noout_wd_l16_resnet18.pth,noise3_exp/imagenet_resnet18_mne_l2_wd_combo_noise_sweep_rate_uniform_L16_T16/weight_decay/noise_sweep_matrix_imagenet_resnet18_T16_mode_rate_uniform_schedule_normal_seed_42.csv
weight_decay,,0.0001,42,16,16,rate_uniform,0.2,11.362,imagenet-checkpoints/resnet18_L[16]_seed42_schemeC_noout_wd_l16_resnet18.pth,noise3_exp/imagenet_resnet18_mne_l2_wd_combo_noise_sweep_rate_uniform_L16_T16/weight_decay/noise_sweep_matrix_imagenet_resnet18_T16_mode_rate_uniform_schedule_normal_seed_42.csv
weight_decay,,0.0001,42,16,16,rate_uniform,0.3,0.462,imagenet-checkpoints/resnet18_L[16]_seed42_schemeC_noout_wd_l16_resnet18.pth,noise3_exp/imagenet_resnet18_mne_l2_wd_combo_noise_sweep_rate_uniform_L16_T16/weight_decay/noise_sweep_matrix_imagenet_resnet18_T16_mode_rate_uniform_schedule_normal_seed_42.csv
weight_decay,,0.0001,42,16,16,rate_uniform,0.4,0.126,imagenet-checkpoints/resnet18_L[16]_seed42_schemeC_noout_wd_l16_resnet18.pth,noise3_exp/imagenet_resnet18_mne_l2_wd_combo_noise_sweep_rate_uniform_L16_T16/weight_decay/noise_sweep_matrix_imagenet_resnet18_T16_mode_rate_uniform_schedule_normal_seed_42.csv
weight_decay,,0.0001,42,16,16,rate_uniform,0.5,0.1,imagenet-checkpoints/resnet18_L[16]_seed42_schemeC_noout_wd_l16_resnet18.pth,noise3_exp/imagenet_resnet18_mne_l2_wd_combo_noise_sweep_rate_uniform_L16_T16/weight_decay/noise_sweep_matrix_imagenet_resnet18_T16_mode_rate_uniform_schedule_normal_seed_42.csv
weight_decay,,0.0001,42,16,16,rate_uniform,0.6,0.098,imagenet-checkpoints/resnet18_L[16]_seed42_schemeC_noout_wd_l16_resnet18.pth,noise3_exp/imagenet_resnet18_mne_l2_wd_combo_noise_sweep_rate_uniform_L16_T16/weight_decay/noise_sweep_matrix_imagenet_resnet18_T16_mode_rate_uniform_schedule_normal_seed_42.csv
weight_decay,,0.0001,42,16,16,rate_uniform,0.7,0.096,imagenet-checkpoints/resnet18_L[16]_seed42_schemeC_noout_wd_l16_resnet18.pth,noise3_exp/imagenet_resnet18_mne_l2_wd_combo_noise_sweep_rate_uniform_L16_T16/weight_decay/noise_sweep_matrix_imagenet_resnet18_T16_mode_rate_uniform_schedule_normal_seed_42.csv
weight_decay,,0.0001,42,16,16,rate_uniform,0.8,0.096,imagenet-checkpoints/resnet18_L[16]_seed42_schemeC_noout_wd_l16_resnet18.pth,noise3_exp/imagenet_resnet18_mne_l2_wd_combo_noise_sweep_rate_uniform_L16_T16/weight_decay/noise_sweep_matrix_imagenet_resnet18_T16_mode_rate_uniform_schedule_normal_seed_42.csv
weight_decay,,0.0001,42,16,16,rate_uniform,0.9,0.1,imagenet-checkpoints/resnet18_L[16]_seed42_schemeC_noout_wd_l16_resnet18.pth,noise3_exp/imagenet_resnet18_mne_l2_wd_combo_noise_sweep_rate_uniform_L16_T16/weight_decay/noise_sweep_matrix_imagenet_resnet18_T16_mode_rate_uniform_schedule_normal_seed_42.csv
weight_decay,,0.0001,42,16,16,rate_uniform,1.0,0.1,imagenet-checkpoints/resnet18_L[16]_seed42_schemeC_noout_wd_l16_resnet18.pth,noise3_exp/imagenet_resnet18_mne_l2_wd_combo_noise_sweep_rate_uniform_L16_T16/weight_decay/noise_sweep_matrix_imagenet_resnet18_T16_mode_rate_uniform_schedule_normal_seed_42.csv
